                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1374,                  2.058,                0.98358,                 1.3398,                0.73026,                0.76056,                0.77395,                0.39538,                0.68445,                0.70269,                0.65824,                0.25794,                 1.6244,                 2.1428,                  1.177,                 1.4229,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0283,                 1.9562,                0.87259,                 1.2313,                0.71203,                 0.8169,                 0.8157,                0.51919,                0.57771,                0.66197,                0.55337,                0.24681,                 1.2889,                 2.5075,                 1.0384,                 1.2066,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0506,                 2.0314,                0.84606,                 1.2744,                0.75798,                0.83099,                 0.8213,                 0.5221,                0.60939,                0.67606,                0.54395,                0.23946,                 1.2842,                 2.2331,                 1.2302,                 1.3084,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0788,                 1.8971,                0.88674,                 1.2866,                0.65034,                0.87324,                0.76582,                0.49174,                0.56328,                0.66197,                0.61365,                0.25163,                 1.2863,                 2.2527,                 1.4698,                 1.2952,               0.001307,               0.001307,               0.001307
                     37,                0.99701,                 2.0096,                0.86732,                 1.2323,                0.63396,                0.80282,                0.76381,                0.43665,                0.55966,                0.55497,                0.51822,                0.16713,                 1.4521,                 2.5405,                 1.6241,                 1.3419,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0551,                 1.7968,                0.87387,                 1.2647,                0.54777,                0.76056,                0.60307,                0.30034,                0.48587,                 0.6338,                0.48464,                0.15745,                 1.4717,                 2.6505,                  1.493,                 1.3101,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0702,                 2.0019,                 0.8635,                 1.2816,                0.62709,                0.78873,                0.70752,                0.39505,                0.60713,                0.67606,                0.65859,                0.25409,                 1.4365,                 2.5236,                 1.2754,                 1.3148,              0.0012476,              0.0012476,              0.0012476
                     40,                0.97261,                 1.7864,                0.79781,                 1.2083,                0.71815,                0.75366,                0.74006,                0.40929,                0.57894,                0.60563,                0.59076,                0.22223,                 1.5499,                 2.7522,                 1.2426,                 1.3632,              0.0012278,              0.0012278,              0.0012278
                     41,                0.96747,                 1.8662,                0.78901,                 1.2001,                0.81174,                0.72882,                0.76991,                0.45619,                0.69259,                0.67606,                0.68583,                0.26038,                 1.3669,                 2.4653,                  1.113,                 1.2487,               0.001208,               0.001208,               0.001208
                     42,                0.95373,                  1.912,                0.77472,                 1.2196,                0.81595,                0.81178,                0.87254,                0.57964,                0.76849,                0.76056,                 0.7518,                0.29157,                 1.2183,                 2.4042,                0.92263,                 1.2229,              0.0011882,              0.0011882,              0.0011882
